traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
我,我,ㄨㄛˇ,wǒ,I / me / my,,N,Novice 1
你,你,ㄋㄧˇ,nǐ,"you (informal, as opposed to courteous 您[nin2])",,N,Novice 1
妳,妳,ㄋㄧˇ,nǐ,you (female) / variant of 你[ni3],,N,Novice 1
他,他,ㄊㄚ,tā,he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another,,N,Novice 1
她,她,ㄊㄚ,tā,she,,N,Novice 1
我們,我们,ㄨㄛˇ ㄇㄣ˙,wǒ men,we / us / ourselves / our,,N,Novice 1
你們,你们,ㄋㄧˇ ㄇㄣ˙,nǐ men,you (plural),,N,Novice 1
妳們,妳们,ㄋㄧˇ ㄇㄣ˙,nǐ men,you (plural) (female),,N,Novice 1
他們,他们,ㄊㄚ ㄇㄣ˙,tā men,they,,N,Novice 1
她們,她们,ㄊㄚ ㄇㄣ˙,tā men,they / them (for females),,N,Novice 1
您,您,ㄋㄧㄣˊ,nín,"you (courteous, as opposed to informal 你[ni3])",,N,Novice 1
誰,谁,ㄕㄟˊ,shéi,who / also pr. [shui2],,N,Novice 1
人,人,ㄖㄣˊ,rén,man / person / people,個|个 / 位|位,N,Novice 1
中國,中国,ㄓㄨㄥ ㄍㄨㄛˊ,zhōng guó,China,,N,Novice 1
美國,美国,ㄇㄟˇ ㄍㄨㄛˊ,měi guó,United States / USA / US,,N,Novice 1
日本,日本,ㄖˋ ㄅㄣˇ,rì běn,Japan,,N,Novice 1
台灣,台湾,ㄊㄞˊ ㄨㄢ,tái wān,variant of 臺灣|台湾[Tai2 wan1],,N,Novice 1
名字,名字,ㄇㄧㄥˊ ㄗ˙,míng zi,name (of a person or thing),個|个,N,Novice 1
家,家,ㄐㄧㄚ,jiā,"home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian",個|个,N,Novice 1
電話,电话,ㄉㄧㄢˋ ㄏㄨㄚˋ,diàn huà,telephone / phone call / phone number,部|部 / 通|通,N,Novice 1
現在,现在,ㄒㄧㄢˋ ㄗㄞˋ,xiàn zài,now / at present / at the moment / modern / current / nowadays,,N,Novice 1
今年,今年,ㄐㄧㄣ ㄋㄧㄢˊ,jīn nián,this year,,N,Novice 1
今天,今天,ㄐㄧㄣ ㄊㄧㄢ,jīn tiān,today / at the present / now,,N,Novice 1
明天,明天,ㄇㄧㄥˊ ㄊㄧㄢ,míng tiān,tomorrow,,N,Novice 1
昨天,昨天,ㄗㄨㄛˊ ㄊㄧㄢ,zuó tiān,yesterday,,N,Novice 1
早上,早上,ㄗㄠˇ ㄕㄤˋ,zǎo shàng,early morning,個|个,N,Novice 1
上午,上午,ㄕㄤˋ ㄨˇ,shàng wǔ,morning,個|个,N,Novice 1
中午,中午,ㄓㄨㄥ ㄨˇ,zhōng wǔ,noon / midday,個|个,N,Novice 1
下午,下午,ㄒㄧㄚˋ ㄨˇ,xià wǔ,afternoon / p.m.,個|个,N,Novice 1
晚上,晚上,ㄨㄢˇ ㄕㄤˋ,wǎn shàng,evening / night / in the evening,個|个,N,Novice 1
一,一,ㄧ,yī,"one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / ""one"" radical in Chinese characters (Kangxi radical 1) / also pr. [yao1] for greater clarity when spelling out numbers digit by digit",,N,Novice 1
二,二,ㄦˋ,r4,two / 2 / (Beijing dialect) stupid,,N,Novice 1
三,三,ㄙㄢ,sān,three / 3,,N,Novice 1
四,四,ㄙˋ,sì,four / 4,,N,Novice 1
五,五,ㄨˇ,wǔ,five / 5,,N,Novice 1
六,六,ㄌㄧㄡˋ,liù,six / 6,,N,Novice 1
七,七,ㄑㄧ,qī,seven / 7,,N,Novice 1
八,八,ㄅㄚ,bā,eight / 8,,N,Novice 1
九,九,ㄐㄧㄡˇ,jiǔ,nine / 9,,N,Novice 1
十,十,ㄕˊ,shí,ten / 10,,N,Novice 1
零,零,ㄌㄧㄥˊ,líng,zero / nought / zero sign / fractional / fragmentary / odd (of numbers) / (placed between two numbers to indicate a smaller quantity followed by a larger one) / fraction / (in mathematics) remainder (after division) / extra / to wither and fall / to wither,,N,Novice 1
兩,两,ㄌㄧㄤˇ,liǎng,"two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",,N,Novice 1
時候,时候,ㄕˊ ㄏㄡˋ,shí hòu,time / length of time / moment / period,,N,Novice 1
百,百,ㄅㄞˇ,bǎi,hundred / numerous / all kinds of,,N,Novice 1
半,半,ㄅㄢˋ,bàn,half / semi- / incomplete / (after a number) and a half,,N,Novice 1
爸爸,爸爸,ㄅㄚˋ ㄅㄚ˙,bà ba,(informal) father,個|个 / 位|位,N,Novice 1
媽媽,妈妈,ㄇㄚ ㄇㄚ˙,mā ma,mama / mommy / mother,個|个 / 位|位,N,Novice 1
哥哥,哥哥,ㄍㄜ ㄍㄜ˙,gē ge,older brother,個|个 / 位|位,N,Novice 1
弟弟,弟弟,ㄉㄧˋ ㄉㄧ˙,dì di,younger brother,個|个 / 位|位,N,Novice 1
姊姊,姊姊,ㄐㄧㄝˇ ㄐㄧㄝ˙,jiě jie,older sister / Taiwan pr. [jie3 jie5],,N,Novice 1
姐姐,姐姐,ㄐㄧㄝˇ ㄐㄧㄝ˙,jiě jie,older sister,個|个,N,Novice 1
妹妹,妹妹,ㄇㄟˋ ㄇㄟ˙,mèi mei,younger sister / young woman,個|个,N,Novice 1
的,的,ㄉㄜ˙,de,aim / clear,,Ptc,Novice 1
第,第,ㄉㄧˋ,dì,"(prefix indicating ordinal number, e.g. first, number two etc) / order / (old) rank in the imperial examinations / mansion / (literary) but / just",,Det,Novice 1
分,分,ㄈㄣ,fēn,part / share / ingredient / component,,M,Novice 1
點,点,ㄉㄧㄢˇ,diǎn,point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items,,M,Novice 1
個,个,ㄍㄜ˙,ge,individual / this / that / size / classifier for people or objects in general,,M,Novice 1
歲,岁,ㄙㄨㄟˋ,suì,classifier for years (of age) / year / year (of crop harvests),,M,Novice 1
年,年,ㄋㄧㄢˊ,nián,year,個|个,M,Novice 1
住,住,ㄓㄨˋ,zhù,"to live / to dwell / to stay / to reside / to stop / (suffix indicating firmness, steadiness, or coming to a halt)",,V,Novice 1
來,来,ㄌㄞˊ,lái,to come / to arrive / to come round / ever since / next,,V,Novice 1
是,是,ㄕˋ,shì,is / are / am / yes / to be,,Vst,Novice 1
姓,姓,ㄒㄧㄥˋ,xìng,family name / surname / to be surnamed,個|个,Vst,Novice 1
覺得,觉得,ㄐㄩㄝˊ ㄉㄜ˙,jué de,to think / to feel,,Vst,Novice 1
喜歡,喜欢,ㄒㄧˇ ㄏㄨㄢ,xǐ huān,to like / to be fond of,,Vst,Novice 1
打電話,打电话,ㄉㄚˇ ㄉㄧㄢˋ ㄏㄨㄚˋ,dǎ diàn huà,to make a telephone call,,Vi,Novice 1
高興,高兴,ㄍㄠ ㄒㄧㄥˋ,gāo xìng,happy / glad / willing (to do sth) / in a cheerful mood,,Vs,Novice 1
漂亮,漂亮,ㄆㄧㄠˋ ㄌㄧㄤˋ,piào liàng,pretty / beautiful,,Vs,Novice 1
高,高,ㄍㄠ,gāo,high / tall / above average / loud / your (honorific),,Vs,Novice 1
好,好,ㄏㄠˇ,hǎo,to be fond of / to have a tendency to / to be prone to,,Adv,Novice 1
很,很,ㄏㄣˇ,hěn,(adverb of degree) / quite / very / awfully,,Adv,Novice 1
真,真,ㄓㄣ,zhēn,really / truly / indeed / real / true / genuine,,Adv,Novice 1
電腦,电脑,ㄉㄧㄢˋ ㄋㄠˇ,diàn nǎo,computer,臺|台,N,Novice 1
老師,老师,ㄌㄠˇ ㄕ,lǎo shī,teacher,個|个 / 位|位,N,Novice 1
買,买,ㄇㄞˇ,mǎi,to buy / to purchase,,V,Novice 1
忙,忙,ㄇㄤˊ,máng,busy / hurriedly / to hurry / to rush,,Vs,Novice 1
學生,学生,ㄒㄩㄝˊ ㄕㄥ,xué shēng,student / schoolchild,,N,Novice 1
大學,大学,ㄉㄚˋㄒㄩㄝˊ,dàxué,university / college,所|所,N,Novice 1
學校,学校,ㄒㄩㄝˊ ㄒㄧㄠˋ,xué xiào,school,所|所,N,Novice 1
字,字,ㄗˋ,zì,letter / symbol / character / word / courtesy or style name traditionally given to males aged 20 in dynastic China,個|个,N,Novice 1
筆,笔,ㄅㄧˇ,bǐ,"pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals",支|支 / 枝|枝,N,Novice 1
學,学,ㄒㄩㄝˊ,xué,to learn / to study / to imitate / science / -ology,,V,Novice 1
問,问,ㄨㄣˋ,wèn,to ask,,V,Novice 1
說,说,ㄕㄨㄛ,shuō,"to speak / to say / to explain / to scold / to tell off / a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)",,V,Novice 1
寫,写,ㄒㄧㄝˇ,xiě,to write,,V,Novice 1
聽,听,ㄊㄧㄥ,tīng,"(literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow",,V,Novice 1
練習,练习,ㄌㄧㄢˋ ㄒㄧˊ,liàn xí,to practice / exercise / drill / practice,個|个,V,Novice 1
